iter	Passed	Remaining
0	4	424
1	7	375
2	11	381
3	13	327
4	15	293
5	17	269
6	18	251
7	20	233
8	21	219
9	23	207
10	24	200
11	26	196
12	27	186
13	29	178
14	30	172
15	31	166
16	32	159
17	33	153
18	34	147
19	35	142
20	36	137
21	37	132
22	38	128
23	40	127
24	41	123
25	41	119
26	42	115
27	43	112
28	44	109
29	45	106
30	46	103
31	47	100
32	47	97
33	48	94
34	49	92
35	50	89
36	51	87
37	52	85
38	53	84
39	55	82
40	56	80
41	56	78
42	57	76
43	58	74
44	59	72
45	60	70
46	61	68
47	61	67
48	62	65
49	63	63
50	64	61
51	65	60
52	66	58
53	67	57
54	67	55
55	69	54
56	70	53
57	71	51
58	72	50
59	72	48
60	73	47
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	38
67	80	37
68	80	36
69	81	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	16
85	98	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	107	3
97	108	2
98	109	1
99	110	0
