iter	Passed	Remaining
0	163	163675
1	182	90986
2	184	61225
3	196	48983
4	199	39609
5	201	33344
6	203	28930
7	205	25473
8	206	22777
9	208	20599
10	210	18888
11	213	17590
12	219	16667
13	220	15543
14	221	14563
15	223	13759
16	236	13650
17	237	12951
18	238	12322
19	240	11760
20	240	11232
21	247	11023
22	250	10624
23	251	10242
24	252	9866
25	254	9527
26	255	9203
27	256	8897
28	265	8891
29	268	8673
30	269	8430
31	270	8189
32	271	7966
33	281	8002
34	283	7822
35	284	7630
36	285	7441
37	286	7261
38	287	7091
39	299	7195
40	302	7066
41	303	6919
42	308	6857
43	309	6728
44	310	6595
45	311	6466
46	312	6342
47	313	6226
48	322	6264
49	324	6173
50	326	6067
51	327	5965
52	328	5864
53	329	5769
54	338	5808
55	339	5730
56	341	5652
57	343	5582
58	344	5497
59	345	5414
60	348	5364
61	350	5295
62	350	5219
63	351	5145
64	352	5074
65	353	5004
66	354	4935
67	355	4870
68	356	4809
69	359	4777
70	360	4719
71	361	4664
72	362	4607
73	364	4555
74	364	4501
75	365	4449
76	366	4396
77	367	4346
78	368	4296
79	376	4325
80	377	4282
81	378	4238
82	379	4189
83	380	4147
84	381	4105
85	382	4065
86	383	4026
87	390	4043
88	391	4008
89	392	3971
90	393	3935
91	395	3898
92	396	3862
93	397	3827
94	398	3793
95	399	3759
96	407	3790
97	408	3758
98	409	3725
99	410	3694
100	411	3664
101	413	3640
102	425	3703
103	426	3675
104	446	3807
105	453	3821
106	456	3812
107	460	3803
108	462	3783
109	472	3823
110	474	3800
111	475	3771
112	478	3757
113	485	3770
114	487	3750
115	489	3731
116	490	3702
117	494	3694
118	501	3712
119	508	3728
120	518	3770
121	520	3748
122	534	3810
123	537	3794
124	539	3774
125	555	3856
126	557	3831
127	567	3863
128	568	3838
129	570	3818
130	579	3846
131	582	3831
132	584	3807
133	585	3783
134	586	3757
135	587	3732
136	591	3722
137	592	3701
138	593	3677
139	595	3655
140	598	3649
141	600	3627
142	601	3607
143	603	3587
144	605	3572
145	608	3561
146	610	3540
147	616	3548
148	617	3527
149	620	3513
150	622	3501
151	625	3490
152	631	3496
153	635	3492
154	636	3471
155	637	3450
156	638	3430
157	640	3410
158	641	3390
159	643	3380
160	644	3359
161	646	3341
162	647	3323
163	648	3306
164	652	3300
165	653	3283
166	654	3265
167	655	3247
168	656	3229
169	657	3210
170	658	3192
171	665	3205
172	667	3190
173	668	3174
174	669	3156
175	670	3139
176	671	3122
177	672	3105
178	673	3088
179	674	3071
180	679	3076
181	681	3062
182	682	3047
183	683	3030
184	684	3014
185	685	2998
186	685	2982
187	686	2966
188	687	2951
189	688	2936
190	695	2943
191	696	2932
192	697	2918
193	699	2904
194	700	2889
195	700	2874
196	701	2860
197	702	2846
198	703	2831
199	704	2817
200	711	2827
201	712	2814
202	713	2801
203	714	2787
204	715	2774
205	716	2760
206	717	2748
207	718	2734
208	719	2721
209	719	2708
210	727	2718
211	728	2707
212	729	2696
213	730	2683
214	731	2671
215	733	2660
216	734	2648
217	735	2637
218	740	2642
219	743	2637
220	745	2627
221	746	2615
222	748	2606
223	750	2598
224	759	2614
225	760	2603
226	761	2593
227	762	2582
228	763	2572
229	765	2561
230	766	2550
231	773	2560
232	775	2552
